,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
56,305,ACTN4,604638,603278;,[MIM:603278]Focal segmental glomerulosclerosis 1;,Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis,Disease-causing germline mutation(s) in,Heart rate[23583979];,0.9337423312883436,0.8001547189272821,0.6141999477943095,0.9355432780847146
57,333,ACVR1,102576,135100;,,Fibrodysplasia ossificans progressiva,Disease-causing germline mutation(s) (gain of function) in,Severe gingival inflammation[28459102];,0.5326380368098159,0.7472924187725631,0.734273035760898,0.7306629834254144
58,337,ACVR2B,602730,613751;,"[MIM:613751]Heterotaxy, visceral, 4, autosomal;",Situs ambiguus,Major susceptibility factor in,P wave duration[24850809];,0.47337423312883437,0.8251676121712223,0.7676846776298617,0.9591774094536526
59,339,ACVRL1,601284,600376;,"[MIM:600376]Telangiectasia, hereditary hemorrhagic, 2;",Hereditary hemorrhagic telangiectasia;Heritable pulmonary arterial hypertension,Disease-causing germline mutation(s) in;Candidate gene tested in,Urate levels[23263486];White blood cell count[27863252];Myeloid white cell count[27863252];Hematocrit[29403010];Plateletcrit[27863252];Hemoglobin[29403010];Monocyte count[27863252];,0.4917791411042945,0.573749355337803,0.5852257896110676,0.8288827501534684
60,340,ACY1,104620,609924;,,Neurological conditions associated with aminoacylase 1 deficiency,Disease-causing germline mutation(s) (loss of function) in,,0.3925153374233129,0.19030428055698814,0.3536935525972331,0.0
61,345,ADA,608958,102700;,[MIM:102700]Severe combined immunodeficiency autosomal recessive T- cell-negative/B-cell-negative/NK-cell-negative due to adenosine deaminase deficiency [recessive?];,Severe combined immunodeficiency due to adenosine deaminase deficiency;Omenn syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Inflammatory bowel disease[28067908];Ulcerative colitis[23128233;28067908];,0.7568098159509202,0.09515214027849407,0.29705037849125554,0.6855432780847146
62,346,ADA2,607575,182410;615688;,[MIM:615688]Polyarteritis nodosa;[MIM:182410]Sneddon syndrome;,Sneddon syndrome;Vasculitis due to ADA2 deficiency,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Verbal declarative memory[25648963];Blood protein levels[29875488;30072576;30072576];,0.038773006134969326,0.7475502836513667,0.0,0.0
63,361,ADAM9,602713,612775;,[MIM:612775]Cone-rod dystrophy 9;,Cone rod dystrophy,Disease-causing germline mutation(s) in,,0.5874846625766871,0.499484270242393,0.40146175933176714,0.3970227133210559
64,362,ADAM10,602192,615537;615590;,[MIM:615537]Reticulate acropigmentation of Kitamura;[MIM:615590]Alzheimer disease 18;,Reticulate acropigmentation of Kitamura,Disease-causing germline mutation(s) (loss of function) in,,0.5170552147239263,0.5719443011861784,0.7927434090315845,0.6445672191528545
65,366,ADAM17,603639,614328;,"[MIM:614328]Inflammatory skin and bowel disease, neonatal, 1;",Neonatal inflammatory skin and bowel disease,Disease-causing germline mutation(s) (loss of function) in,,0.403680981595092,0.8996905621454357,0.3925867919603237,0.552793124616329
66,385,ADAMTS2,604539,225410;,"[MIM:225410]Ehlers-Danlos syndrome, dermatosparaxis type [recessive?];","Ehlers-Danlos syndrome, dermatosparaxis type",Disease-causing germline mutation(s) in,Depression in response to interferon-based therapy in chronic hepatitis C[27723809];Central corneal thickness[29760442];Visceral adipose tissue adjusted for BMI[22589738];Height[25282103];Attention deficit hyperactivity disorder (time to onset)[18937294];Stroke (pediatric)[22990015];Intraocular pressure[29617998;29617998];,0.2947239263803681,0.5680763280041259,0.04620203602192639,0.7360343769183548
67,386,ADAMTS3,605011,,,Hennekam syndrome,Disease-causing germline mutation(s) (loss of function) in,"Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)[28448500];Dialysis-related mortality[21546767];Waist circumference adjusted for BMI in non-smokers[28443625];Waist circumference adjusted for BMI (adjusted for smoking behaviour)[28443625];Cholesterol ester levels in large LDL[29084231];Waist circumference adjusted for body mass index[26785701;28448500;28448500];Total cholesterol levels in LDL[29084231];Total cholesterol levels in small LDL[29084231;29084231;29084231;29084231];Total cholesterol levels in large LDL[29084231];Small LDL particle concentration[29084231;29084231;29084231;29084231];Large LDL particle concentration[29084231];Dental caries[23259602;23259602];Serum total cholesterol levels[29084231];Hip circumference adjusted for BMI[25673412;25673412];Cholesterol ester levels in medium LDL[29084231;29084231;29084231];Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)[28443625];Total cholesterol levels in medium LDL[29084231;29084231;29084231];Metabolite levels[22916037];Medium LDL particle concentration[29084231;29084231;29084231];Height[20881960;25429064;25282103];Cholesterol, total[25961943];Waist circumference adjusted for BMI in active individuals[28448500];",0.038773006134969326,0.11552346570397112,0.44557556773688334,0.4011663597298956
68,398,ADAMTS10,608990,277600;,[MIM:277600]Weill-Marchesani syndrome 1;,Weill-Marchesani syndrome,Disease-causing germline mutation(s) in,Resting metabolic rate[28476931];Itch intensity from mosquito bite adjusted by bite size[28199695;28199695;28199695];Tonsillectomy[27182965;28928442];Atopic dermatitis[26482879];Waist circumference adjusted for BMI in non-smokers[28443625];Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)[28443625;28443625];Waist circumference adjusted for BMI (adjusted for smoking behaviour)[28443625;28443625];Height[20881960;18391951;25282103];Waist circumference adjusted for body mass index[25673412;25673412];Itch intensity from mosquito bite[28199695];,0.17791411042944785,0.8349664775657556,0.2837379274340903,0.37952731737262124
69,400,ADAMTS13,604134,274150;,[MIM:274150]Thrombotic thrombocytopenic purpura congenital;,Congenital thrombotic thrombocytopenic purpura,Disease-causing germline mutation(s) (loss of function) in,Activated partial thromboplastin time[22703881];ADAMTS13 levels[29296746;29296746;29296746];vWF levels in ischaemic stroke and hyperhomocysteinaemia[28495826];Pancreatic cancer[25086665];Liver enzyme levels[18940312];Gut microbiota (functional units)[27694959];Coagulation factor levels[23267103;23267103];ADAMTS13 activity[25934476;25934476];Blood protein levels[28240269;29875488;30072576;30072576];Cobalt levels[26025379];Circulating fibroblast growth factor 23 levels[30217807];,0.08736196319018405,0.31794739556472407,0.15270164447924825,0.3396255371393493
70,404,ADAMTS17,607511,613195;,[MIM:613195]Weill-Marchesani syndrome 4 [recessive?];,Ichthyosis-short stature-brachydactyly-microspherophakia syndrome,Disease-causing germline mutation(s) (loss of function) in,Response to fenofibrate (triglyceride levels)[27002377];Urate levels in lean individuals[25811787];Osteosarcoma[23727862];Hip circumference adjusted for BMI[25673412;25673412];Gastroesophageal reflux disease[27485664];Waist circumference adjusted for BMI (adjusted for smoking behaviour)[28443625];Height[23563607;20881960;18391951;25429064;25282103];Waist circumference adjusted for body mass index[25673412;25673412];Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes[29221444];Intraocular pressure[29617998;29235454];,0.038773006134969326,0.4902011346054667,0.07622030801357348,0.34714548802946593
71,405,ADAMTS18,607512,615458;,"[MIM:615458]Microcornea, myopic chorioretinal atrophy, and telecanthus;",Microcornea-myopic chorioretinal atrophy-telecanthus syndrome,Disease-causing germline mutation(s) in,Type 2 diabetes (age of onset)[28060188];Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)[23648065];Amyotrophic lateral sclerosis (sporadic)[24529757];Bone mineral density (Ward's triangle area)[27397699];Bone mineral density[19249006];White matter integrity[22425255];Intraocular pressure[29617998;29617998;29235454;30054594];Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)[27114598];Upper eyelid sagging severity[29654602];,0.12711656441717792,0.5043837029396596,0.007047768206734534,0.13459177409453651
72,409,ADAMTSL1,609198,,,Microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome,Disease-causing germline mutation(s) in,QT interval (drug interaction)[23459443];Midgestational circulating levels of PBDEs[28235828];Spherical equivalent or myopia (age of diagnosis)[29808027];Fat distribution (HIV)[21897333];Small cell lung carcinoma[28604730];Cerebral cortical growth[29682794];Amyotrophic lateral sclerosis (sporadic)[24529757];Myopia[27182965];Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858];Perceived unattractiveness to mosquitoes[28199695];Hip circumference (psychosocial stress interaction)[25271088];Systolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858];Obesity-related traits[23251661;23251661];Depression in smokers[30219690];Nicotine dependence[28440896];,0.19190184049079756,0.6609076843733883,0.1007569825110937,0.23603437691835483
73,410,ADAMTSL2,612277,231050;,[MIM:231050]Geleophysic dysplasia 1 [recessive?];,Geleophysic dysplasia,Disease-causing germline mutation(s) in,,0.08736196319018405,0.2264053635894791,0.7003393369877317,0.0
74,412,ADAMTSL4,610113,225100;225200;,"[MIM:225100]Ectopia lentis 2, isolated, autosomal recessive [recessive?];[MIM:225200]Ectopia lentis et pupillae;",Isolated ectopia lentis,Disease-causing germline mutation(s) in,Migraine[27322543];Rhegmatogenous retinal detachment[23585552];Coronary artery disease[29212778];,0.6174233128834355,0.033522434244455904,0.2529365700861394,0.011203192142418661
75,417,ADAR,146920,127400;615010;,[MIM:127400]Dyschromatosis symmetrica hereditaria [dominant?];[MIM:615010]Aicardi-Goutieres syndrome 6;,Aicardi-Gouti�res syndrome;Familial infantile bilateral striatal necrosis;Dyschromatosis symmetrica hereditaria,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,C-reactive protein levels or triglyceride levels (pleiotropy)[27286809];Lung cancer[28604730];Squamous cell lung carcinoma[28604730];Cerebrospinal fluid levels of Alzheimer's disease-related proteins[25340798];Prostate cancer[23535732];,0.9465030674846626,0.5611139762764311,0.6891151135473766,0.7539901780233272
76,423,ADAT3,615302,615286;,"[MIM:615286]Mental retardation, autosomal recessive 36 [recessive?];",Intellectual disability-strabismus syndrome,Disease-causing germline mutation(s) in,,0.17791411042944785,0.5861268695203713,0.6100234925606891,0.0
77,428,ADCY1,103072,610154;,"[MIM:610154]Deafness, autosomal recessive, 44 [recessive?];",Autosomal recessive non-syndromic sensorineural deafness type DFNB,Disease-causing germline mutation(s) (loss of function) in,Subjective response to lithium treatment in bipolar disorder[26503763];Bipolar disorder lithium response (continuous) or schizophrenia[29121268];Night sleep phenotypes[27126917];,0.17791411042944785,0.5466735430634347,0.5763508222396241,0.7372621240024555
78,432,ADCY5,600293,606703;,"[MIM:606703]Dyskinesia, familial, with facial myokymia;",Benign hereditary chorea;Familial dyskinesia and facial myokymia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Type 2 diabetes[22693455;24509480;26818947;28254843;22885922;22885922;22885922;29358691;28869590;28869590];Fasting blood glucose[20081858;22581228;22581228];Homeostasis model assessment of beta-cell function[20081858];Gestational age at birth (maternal effect)[28877031];Glycated hemoglobin levels[28898252];Lymphocyte counts[27863252];Chronic kidney disease[26420894];Disease progression in age-related macular degeneration[29346644];Body mass index[25673413;25673413];Two-hour glucose challenge[20081857];Birth weight[20372150;23202124;27680694];Monocyte count[27863252];Obesity-related traits[23251661];Fasting blood glucose (BMI interaction)[22581228;22581228];,0.22687116564417178,0.975373904074265,0.6055860088749674,0.6519337016574586
79,433,ADCY6,600294,616287;,[MIM:616287]Lethal congenital contracture syndrome 8 [recessive?];,Hypomyelination neuropathy-arthrogryposis syndrome,Disease-causing germline mutation(s) in,Clozapine-induced agranulocytosis[25187353];,0.3168098159509202,0.36848891181021143,0.3988514748107544,0.6720380601596071
80,437,ADCY10,605205,143870;,[MIM:143870]Hypercalciuria absorptive 2;,Idiopathic hypercalciuria,Disease-causing germline mutation(s) in,,0.08736196319018405,0.008767405879319236,0.3098407726442182,0.0187231430325353
81,443,ADD3,601568,617008;,"[MIM:617008]Cerebral palsy, spastic quadriplegic 3 [recessive?];",Inherited congenital spastic tetraplegia,Disease-causing germline mutation(s) (loss of function) in,Biliary atresia[20460270];White blood cell count[29403010];Bipolar disorder[28072414];Neutrophil count[29403010];,0.9771779141104294,0.9716348633316142,0.4158183241973375,0.6398096992019644
82,458,ADGRE2,606100,125630;,[MIM:125630]Vibratory urticaria [dominant?];,Vibratory urticaria,Disease-causing germline mutation(s) (gain of function) in,Blood protein levels[30072576];Plasma androstenedione levels in resected early stage-receptor positive breast cancer[28429243];,0.10711656441717791,0.01263537906137184,0.0,0.0
83,469,ADGRG1,604110,606854;615752;,"[MIM:606854]Polymicrogyria, bilateral frontoparietal;[MIM:615752]Polymicrogyria, bilateral perisylvian, autosomal recessive [recessive?];",Bilateral perisylvian polymicrogyria;Bilateral frontoparietal polymicrogyria,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Prostate cancer[29892016];Prostate cancer (advanced)[29892016];,0.16220858895705523,0.6462093862815884,0.0,0.0
84,470,ADGRG2,300572,300985;,"[MIM:300985]Congenital bilateral aplasia of the vas deferens, X- linked;",Congenital bilateral absence of vas deferens,Disease-causing germline mutation(s) in,,0.038773006134969326,0.8764827230531201,0.0,0.0
85,481,ADGRV1,602851,604352;605472;,"[MIM:605472]Usher syndrome 2C;[MIM:604352]Febrile seizures, familial, 4;",Usher syndrome type 2;Generalized epilepsy with febrile seizures-plus,Disease-causing germline mutation(s) in;Candidate gene tested in,Small cell lung carcinoma[28604730];Initial pursuit acceleration[29064472];Schizophrenia[28991256];Atopy[28927820];,0.038773006134969326,0.12274368231046931,0.0,0.0
86,506,ADK,102750,614300;,,Hypermethioninemia encephalopathy due to adenosine kinase deficiency,Disease-causing germline mutation(s) (loss of function) in,Diverticular disease[30177863];Soluble interleukin-2 receptor subunit alpha[26293465];Permanent tooth development[21931568];Hypospadias[25108383];Primary tooth development (time to first tooth eruption)[23704328];Primary tooth development (number of teeth)[23704328];,0.27975460122699386,0.29061371841155237,0.9321326024536675,0.42004297114794353
